Nom\Taille,100,500,5000,10000,50000,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,
algo1,0000.001127,0000.101403,0102.603049,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,
algo2,0000.000046,0000.001105,0000.107627,0000.432029,0010.777609,0043.027651,0172.123258,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,0300.000000,
algo3,0000.000016,0000.000092,0000.000783,0000.001610,0000.010748,0000.019322,0000.036592,0000.047855,0000.065674,0000.094105,0000.113708,0000.137798,0000.154749,0000.177485,0000.189983,
algo4,0000.000003,0000.000007,0000.000035,0000.000098,0000.000294,0000.000621,0000.001224,0000.001698,0000.002197,0000.003024,0000.003641,0000.004067,0000.004697,0000.005341,0000.007294,
